SNO,Protein A,Protein B,UniProtID A,UniProtID B,PDB ID A,PDB ID B
428,EWSR1,HNRNPK,Q61545,P61979,No 3D Structure,No 3D Structure
429,HNRNPA0,HNRNPH2,Q13151,P55795,No 3D Structure,"1WEZ, 1WG5, 6DG1, 8SGH"
430,MAP2K1,HSP90AA1,Q02750,A5A6K9,"1S9J, 2P55, 3DV3, 3DY7, 3E8N, 3EQB, 3EQC, 3EQD, 3EQF, 3EQG, 3EQH, 3EQI, 3MBL, 3ORN, 3OS3, 3PP1, 3SLS, 3V01, 3V04, 3VVH, 3W8Q, 3WIG, 3ZLS, 3ZLW, 3ZLX, 3ZLY, 3ZM4, 4AN2, 4AN3, 4AN9, 4ANB, 4ARK, 4LMN, 4MNE, 4U7Z, 4U80, 4U81, 5BX0, 5EYM, 5HZE, 5YT3, 6NYB, 6PP9, 6Q0J, 6Q0T, 6U2G, 6V2W, 6X2P, 6X2S, 6X2X, 7B3M, 7B7R, 7B94, 7B9L, 7F2X, 7M0T, 7M0U, 7M0V, 7M0W, 7M0X, 7M0Y, 7M0Z, 7MFD, 7PQV, 7UMB, 7XLP, 7XNC, 8CHF, 8DGS, 8DGT, 8YP4, 9AXA, 9AXC, 9AXH, 9AXM, 9AXX, 9AXY, 9AY7, 9AYA",No 3D Structure
431,CALCOCO2,MAVS,Q13137,Q8VCF0,"2MXP, 3VVV, 3VVW, 4GXL, 4HAN, 4XKL, 5AAQ, 5Z7A, 5Z7L, 7EAA",4GHU
432,TOR1A,SNCA,Q68G38,Q3T0G8,No 3D Structure,No 3D Structure
433,U2AF2,ILF3,P26368,Q9Z1X4,"1JMT, 1O0P, 1OPI, 1U2F, 2G4B, 2HZC, 2M0G, 2U2F, 2YH0, 2YH1, 3VAF, 3VAG, 3VAH, 3VAI, 3VAJ, 3VAK, 3VAL, 3VAM, 4FXW, 4TU7, 4TU8, 4TU9, 5EV1, 5EV2, 5EV3, 5EV4, 5W0G, 5W0H, 6TR0, 6XLV, 6XLW, 6XLX, 7S3A, 7S3B, 7S3C, 7SN6, 8P25, 9C7A, 9C7B, 9DWU","4AT7, 4AT8, 4AT9, 4ATB, 5DV7"
434,EWSR1,SRSF1,Q61545,Q6PDM2,No 3D Structure,1X4C
435,KHDRBS1,SYNCRIP,Q07666,O60506,"2XA6, 3QHE, 7Z89, 7Z8A, 7Z9A, 7Z9B, 7ZAB, 7ZAC, 7ZAF, 7ZAM","2DGU, 2MXT, 2NBB, 6KOR"
436,PSAP,CTSD,Q0G825,Q4WNV0,No 3D Structure,No 3D Structure
437,CS,GPI,A0A2P1GIW2,Q92643,6RT8,"7W72, 7WLD, 8IMX, 8IMY"
438,TPI1,ACO2,P60174,Q94A28,"1HTI, 1KLG, 1KLU, 1WYI, 2IAM, 2IAN, 2JK2, 2VOM, 4BR1, 4E41, 4POC, 4POD, 4UNK, 4UNL, 4ZVJ, 6C2G, 6D43, 6NLH, 6UP1, 6UP5, 6UP8, 6UPF, 7RDE, 7SX1, 7T0Q, 7UXB, 7UXV",No 3D Structure
439,ACO1,FTL,Q42560,P02792,No 3D Structure,"2FFX, 2FG4, 2FG8, 3KXU, 5LG8, 6TR9, 6TS0, 6TS1, 6TSA, 6TSF, 6TSJ, 6WX6"
440,MDM4,YWHAB,O15151,P31946,"2CR8, 2MWY, 2N06, 2N0U, 2N0W, 2N14, 2VJE, 2VJF, 2VYR, 3DAB, 3EQY, 3FDO, 3FE7, 3FEA, 3JZO, 3JZP, 3JZQ, 3LBJ, 3MQR, 3U15, 4RXZ, 5MNJ, 5UML, 5VK1, 6Q9Q, 6Q9S, 6Q9U, 6Q9W, 6Q9Y, 6YR5, 6YR7, 7C3Q, 7C3Y, 7C44, 7EL4, 7KJN, 7MLA, 8HDG, 8IA5","2BQ0, 2C23, 4DNK, 5N10, 6A5Q, 6BYK, 6GN0, 6GN8, 6GNJ, 6GNK, 6GNN, 6HEP, 6YGJ, 8DP5, 8EQ8, 8EQH"
441,HNRNPA2B1,HNRNPA0,P22626,Q13151,"1X4B, 5EN1, 5HO4, 5WWE, 5WWF, 5WWG, 6WPQ, 6WQK, 7WM3, 8DU2, 8DUW, 8EC7, 8HNI",No 3D Structure
442,NDUFS1,OGDH,P28331,Q02218,"5XTB, 5XTD, 5XTH, 5XTI","3ERY, 7WGR, 8I0K"
443,EIF4A3,TRA2B,P38919,Q3ZBT6,"2HXY, 2HYI, 2J0Q, 2J0S, 2J0U, 2XB2, 3EX7, 4C9B, 5MQF, 5XJC, 5YZG, 6ICZ, 6QDV, 6YVH, 7A5P, 7W59, 7W5A, 7W5B, 7ZNJ, 8C6J, 8I0W, 9FMD",No 3D Structure
444,PSMA1,VCP,Q9V2V6,P42660,No 3D Structure,No 3D Structure
445,PSMD4,SOD1,O35226,P15107,No 3D Structure,1XSO
446,LRRK2,SYNJ1,Q5S007,O43426,"2ZEJ, 3D6T, 5MY9, 5MYC, 6DLO, 6DLP, 6OJE, 6OJF, 6VNO, 6VP6, 6VP7, 6VP8, 6XAF, 6XR4, 7LHT, 7LHW, 7LI3, 7LI4, 7THY, 7THZ, 8FO2, 8FO7, 8FO8, 8FO9, 8SMC, 8TXZ, 8TYQ, 8TZB, 8TZC, 8TZE, 8TZF, 8TZG, 8TZH, 8U1B, 8U7H, 8U7L, 8U8A, 8U8B, 8VH4, 8VH5, 9C76, 9CHO","1W80, 2DNR, 2VJ0, 7A0V, 7A17"
447,HNRNPU,U2AF1,Q8VEK3,Q01081,No 3D Structure,1JMT
448,HNRNPM,RALY,P52272,Q64012,"2DGV, 2DH9, 2DO0, 2OT8",No 3D Structure
449,TAB2,TANK,Q9NYJ8,Q92844,"2DAE, 2WWZ, 2WX0, 2WX1, 9AVT, 9AVW","1KZZ, 1L0A, 5H10"
450,HSP90AA1,YWHAZ,A5A6K9,P63104,No 3D Structure,"1IB1, 1QJA, 1QJB, 2C1J, 2C1N, 2O02, 2WH0, 3CU8, 3NKX, 3RDH, 4BG6, 4FJ3, 4HKC, 4IHL, 4N7G, 4N7Y, 4N84, 4WRQ, 4ZDR, 5D2D, 5D3F, 5EWZ, 5EXA, 5J31, 5JM4, 5M35, 5M36, 5M37, 5NAS, 5ULO, 5WXN, 5XY9, 6EF5, 6EJL, 6EWW, 6F08, 6F09, 6FN9, 6FNA, 6FNB, 6FNC, 6Q0K, 6RLZ, 6U2H, 6XAG, 6YMO, 6YO8, 6YOS, 6ZFD, 6ZFG, 7D8H, 7D8P, 7D9V, 7MFD, 7MFE, 7MFF, 7Q16, 7ZIT, 8A9G, 8AH2, 8P1H, 8QDV, 8WE2, 8WF6, 9FUM, 9FVL"
451,MARK2,YWHAQ,Q7KZI7,P68254,"3IEC, 5EAK, 5KZ7, 5KZ8, 8TXY",No 3D Structure
452,G3BP1,VCP,Q13283,P42660,"3Q90, 4FCJ, 4FCM, 4IIA, 5FW5, 6TA7, 7S17, 7SUO, 7XHF, 7XHG, 8TH1, 8TH5, 8TH6, 8TH7, 8V1L",No 3D Structure
453,TMEM106B,CHMP2B,Q9NUM4,Q8BJF9,"7QVC, 7QVF, 7QWG, 7QWL, 7QWM, 7SAQ, 7SAR, 7SAS, 7TMC, 7U10, 7U11, 7U12, 7U13, 7U14, 7U15, 7U16, 7U17, 7U18, 7X83, 7X84, 8B7D, 8F9K, 8J7N, 8J7P, 8OTD, 8OTE, 8X5H, 9FNB",No 3D Structure
454,CD44,STAT3,P20944,Q6DV79,No 3D Structure,No 3D Structure
455,FXR1,ATXN2,P51114,O70305,"2CPQ, 3KUF, 3O8V",No 3D Structure
456,NDUFS3,PMPCA,O75489,Q10713,"5XTB, 5XTD, 5XTH, 5XTI",No 3D Structure
457,EIF4A3,SNRNP70,P38919,P08621,"2HXY, 2HYI, 2J0Q, 2J0S, 2J0U, 2XB2, 3EX7, 4C9B, 5MQF, 5XJC, 5YZG, 6ICZ, 6QDV, 6YVH, 7A5P, 7W59, 7W5A, 7W5B, 7ZNJ, 8C6J, 8I0W, 9FMD","2L5I, 2L5J, 3CW1, 3PGW, 4PJO, 4PKD, 6QX9, 7B0Y, 7VPX, 8R08"
458,ELAVL1,HNRNPDL,Q15717,O14979,"3HI9, 4ED5, 4EGL, 4FXV, 5SZW, 6G2K, 6GC5, 6GD1, 6GD2, 6GD3",7ZIR
459,HNRNPA1,G3BP1,P09651,Q13283,"1HA1, 1L3K, 1PGZ, 1PO6, 1U1K, 1U1L, 1U1M, 1U1N, 1U1O, 1U1P, 1U1Q, 1U1R, 1UP1, 2H4M, 2LYV, 2UP1, 4YOE, 5MPG, 5MPL, 5ZGD, 5ZGL, 6BXX, 6DCL, 6J60, 7BX7, 7ZJ2, 8IK7, 8IKB, 8IKP, 8IKS, 8RZV, 8X0N, 9F1S, 9F4D, 9F4G, 9F4H, 9F4J, 9F4K, 9F4L, 9F4N, 9F4O, 9F4P, 9F4Q, 9F4R, 9F4S, 9F4T, 9F4U, 9F4V, 9F4W, 9F4X, 9F4Y, 9F4Z, 9F50, 9F51, 9F52, 9F53, 9F54, 9F55, 9F5C, 9F5D, 9F5E, 9F5F, 9F5G, 9F5K, 9F7F, 9F7H, 9GEA, 9GPJ, 9HQ9, 9HQJ, 9HQL","3Q90, 4FCJ, 4FCM, 4IIA, 5FW5, 6TA7, 7S17, 7SUO, 7XHF, 7XHG, 8TH1, 8TH5, 8TH6, 8TH7, 8V1L"
460,SMN1,HNRNPH1,P97801,P31943,No 3D Structure,"2LXU, 6DHS, 7ZUG"
461,USP8,YWHAE,P40818,P62258,"1WHB, 2A9U, 2GFO, 2GWF, 3N3K, 6F09, 8ADM, 8XPN, 8Y9A","2BR9, 3UAL, 3UBW, 6EIH, 7C8E, 7V9B, 8DGM, 8DGN, 8DGP, 8DP5, 8Q1S"
462,MARK2,MARK3,Q7KZI7,Q8VHF0,"3IEC, 5EAK, 5KZ7, 5KZ8, 8TXY",No 3D Structure
463,UCHL1,HSP90AB1,Q6SEG5,P08238,No 3D Structure,"1QZ2, 1UYM, 2L6J, 3FWV, 3NMQ, 3PRY, 3UQ3, 5FWK, 5FWL, 5FWM, 5FWP, 5UC4, 5UCH, 5UCI, 5UCJ, 6N8W, 6N8Y, 7ULJ, 7Z37, 7Z38, 7ZR0, 7ZR5, 7ZR6, 7ZUB, 8EOA, 8EOB, 8GAE, 8GFT, 8QMO"
464,HSPB1,STUB1,Q3T149,Q9UNE7,No 3D Structure,"4KBQ, 6EFK, 6NSV, 7TB1, 8EHZ, 8EI0, 8F14, 8F15, 8F16, 8F17, 8FYU, 8GCK, 8SUV"
465,HSCB,FDX1,Q8IWL3,P10109,3BVO,"3N9Y, 3N9Z, 3NA0, 3NA1, 3P1M, 7M8I"
466,TAF15,HNRNPK,Q9AST1,P61979,No 3D Structure,No 3D Structure
467,RBM14,RBMX,Q8C2Q3,Q9WV02,No 3D Structure,No 3D Structure
468,CPSF6,TRA2B,Q6NVF9,Q3ZBT6,No 3D Structure,No 3D Structure
469,ACO2,GPI,Q94A28,Q92643,No 3D Structure,"7W72, 7WLD, 8IMX, 8IMY"
470,VAPB,OSBPL10,O95292,Q9BXB5,"2MDK, 3IKK",No 3D Structure
471,OPTN,VCP,Q8K3K8,P42660,5WQ4,No 3D Structure
472,IDH2,GPI,P28241,Q92643,"3BLV, 3BLW, 3BLX","7W72, 7WLD, 8IMX, 8IMY"
473,BRAF,HSPA8,P28028,P63017,No 3D Structure,3CQX
474,DDX5,HNRNPF,Q5R4I9,P52597,No 3D Structure,"2HGL, 2HGM, 2HGN, 2KFY, 2KG0, 2KG1, 3TFY"
475,PSMD12,VCP,O00232,P42660,"5GJQ, 5GJR, 5L4K, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I, 5T0J, 5VFP, 5VFQ, 5VFR, 5VFS, 5VFT, 5VFU, 5VGZ, 5VHF, 5VHH, 5VHI, 5VHS, 6MSB, 6MSD, 6MSE, 6MSG, 6MSH, 6MSJ, 6MSK, 6WJD, 6WJN, 7QXN, 7QXP, 7QXU, 7QXW, 7QXX, 7QY7, 7QYA, 7QYB, 7W37, 7W38, 7W39, 7W3A, 7W3B, 7W3C, 7W3F, 7W3G, 7W3H, 7W3I, 7W3J, 7W3K, 7W3M, 8CVT, 8JRI, 8JRT, 8JTI, 8K0G, 8USB, 8USC, 9E8G, 9E8H, 9E8I, 9E8J, 9E8K, 9E8L, 9E8N, 9E8O, 9E8Q",No 3D Structure
476,MFN2,VCP,O95140,P42660,"6JFK, 6JFL, 6JFM",No 3D Structure
477,RMDN3,VAPA,Q3UJU9,Q9P0L0,No 3D Structure,"2RR3, 6TQR"
478,TAF15,HNRNPA2B1,Q9AST1,P22626,No 3D Structure,"1X4B, 5EN1, 5HO4, 5WWE, 5WWF, 5WWG, 6WPQ, 6WQK, 7WM3, 8DU2, 8DUW, 8EC7, 8HNI"
479,RNF31,TAB2,Q96EP0,Q9NYJ8,"2CT7, 4DBG, 4JUY, 4LJO, 4LJP, 4LJQ, 4OWF, 4OYJ, 4OYK, 4P09, 4P0A, 4P0B, 5EDV, 5LJN, 5X0W, 6GZY, 6KC5, 6KC6, 6SC5, 6SC6, 6SC7, 6SC8, 6SC9, 7TV4, 7UY2, 7UYJ, 7UYK, 7V8F, 7V8G, 8Z30, 8Z36, 9AZJ, 9B0B, 9B0Z, 9B12","2DAE, 2WWZ, 2WX0, 2WX1, 9AVT, 9AVW"
480,SFPQ,ALYREF,Q8VIJ6,Q86V81,No 3D Structure,"3ULH, 7ZNJ, 7ZNK"
481,RBMX,TAF15,Q9WV02,Q9AST1,No 3D Structure,No 3D Structure
482,DDX5,HNRNPA2B1,Q5R4I9,P22626,No 3D Structure,"1X4B, 5EN1, 5HO4, 5WWE, 5WWF, 5WWG, 6WPQ, 6WQK, 7WM3, 8DU2, 8DUW, 8EC7, 8HNI"
483,HNRNPA2B1,SRSF9,P22626,Q13242,"1X4B, 5EN1, 5HO4, 5WWE, 5WWF, 5WWG, 6WPQ, 6WQK, 7WM3, 8DU2, 8DUW, 8EC7, 8HNI",No 3D Structure
484,FUS,KHDRBS1,P56959,Q07666,No 3D Structure,"2XA6, 3QHE, 7Z89, 7Z8A, 7Z9A, 7Z9B, 7ZAB, 7ZAC, 7ZAF, 7ZAM"
485,SLC6A2,SNCA,P23975,Q3T0G8,"8HFE, 8HFF, 8HFG, 8HFI, 8HFL, 8I3V, 8WGR, 8WGX, 8WTU, 8WTV, 8WTW, 8WTX, 8WTY, 8XB2, 8XB3, 8XB4, 8Y8Z, 8Y90, 8Y91, 8Y92, 8Y93, 8Y94, 8Y95, 8YR2, 8Z1L, 8ZOY, 8ZP1, 8ZP2, 8ZPB",No 3D Structure
486,YWHAQ,SNCA,P68254,Q3T0G8,No 3D Structure,No 3D Structure
487,ARAF,HSP90AB1,P10398,P08238,"1WXM, 2MSE, 9AXM","1QZ2, 1UYM, 2L6J, 3FWV, 3NMQ, 3PRY, 3UQ3, 5FWK, 5FWL, 5FWM, 5FWP, 5UC4, 5UCH, 5UCI, 5UCJ, 6N8W, 6N8Y, 7ULJ, 7Z37, 7Z38, 7ZR0, 7ZR5, 7ZR6, 7ZUB, 8EOA, 8EOB, 8GAE, 8GFT, 8QMO"
488,HSP90AA1,ERBB4,A5A6K9,Q61527,No 3D Structure,No 3D Structure
489,BAG5,PINK1,Q9UL15,B5DFG1,"2D9D, 3A8Y",No 3D Structure
490,SYNCRIP,TARDBP,O60506,Q13148,"2DGU, 2MXT, 2NBB, 6KOR","1WF0, 2CQG, 2N2C, 2N3X, 2N4G, 2N4H, 2N4P, 4BS2, 4IUF, 4Y00, 4Y0F, 5MDI, 5MRG, 5W50, 5W52, 5W7V, 5WHN, 5WHP, 5WIA, 5WIQ, 5WKB, 5WKD, 5X4F, 6B1G, 6CF4, 6CFH, 6N37, 6N3A, 6N3B, 6N3C, 6T4B, 7KWZ, 7N9H, 7PY2, 7Q3U, 8A6I, 8CG3, 8CGG, 8CGH, 8QX9, 8QXA, 8QXB, 9FOF, 9FOR"
491,CPSF6,HNRNPA1,Q6NVF9,P09651,No 3D Structure,"1HA1, 1L3K, 1PGZ, 1PO6, 1U1K, 1U1L, 1U1M, 1U1N, 1U1O, 1U1P, 1U1Q, 1U1R, 1UP1, 2H4M, 2LYV, 2UP1, 4YOE, 5MPG, 5MPL, 5ZGD, 5ZGL, 6BXX, 6DCL, 6J60, 7BX7, 7ZJ2, 8IK7, 8IKB, 8IKP, 8IKS, 8RZV, 8X0N, 9F1S, 9F4D, 9F4G, 9F4H, 9F4J, 9F4K, 9F4L, 9F4N, 9F4O, 9F4P, 9F4Q, 9F4R, 9F4S, 9F4T, 9F4U, 9F4V, 9F4W, 9F4X, 9F4Y, 9F4Z, 9F50, 9F51, 9F52, 9F53, 9F54, 9F55, 9F5C, 9F5D, 9F5E, 9F5F, 9F5G, 9F5K, 9F7F, 9F7H, 9GEA, 9GPJ, 9HQ9, 9HQJ, 9HQL"
492,UQCRC2,VDAC1,P22695,Q9MZ16,"5XTE, 5XTH, 5XTI",No 3D Structure
493,HSPD1,AFG3L2,P10809,Q9Y4W6,"4PJ1, 6HT7, 6MRC, 6MRD, 7AZP, 7L7S, 8G7J, 8G7K, 8G7L, 8G7M, 8G7N, 8G7O, 8U39","2LNA, 6NYY"
494,ABL1,YWHAQ,P00520,P68254,"1ABO, 1ABQ, 1FPU, 1IEP, 1M52, 1OPJ, 1OPK, 2HZN, 2QOH, 2Z60, 3DK3, 3DK6, 3DK7, 3IK3, 3K5V, 3KF4, 3KFA, 3MS9, 3MSS, 3OXZ, 3OY3, 5IH2, 6HD4, 6HD6",No 3D Structure
495,VAPA,OSBPL2,Q9P0L0,Q9H1P3,"2RR3, 6TQR",5ZM8
496,PCBP1,HNRNPA0,P60335,Q13151,No 3D Structure,No 3D Structure
497,EIF4A3,HNRNPH1,P38919,P31943,"2HXY, 2HYI, 2J0Q, 2J0S, 2J0U, 2XB2, 3EX7, 4C9B, 5MQF, 5XJC, 5YZG, 6ICZ, 6QDV, 6YVH, 7A5P, 7W59, 7W5A, 7W5B, 7ZNJ, 8C6J, 8I0W, 9FMD","2LXU, 6DHS, 7ZUG"
498,LRRK2,SQSTM1,Q5S007,Q64337,"2ZEJ, 3D6T, 5MY9, 5MYC, 6DLO, 6DLP, 6OJE, 6OJF, 6VNO, 6VP6, 6VP7, 6VP8, 6XAF, 6XR4, 7LHT, 7LHW, 7LI3, 7LI4, 7THY, 7THZ, 8FO2, 8FO7, 8FO8, 8FO9, 8SMC, 8TXZ, 8TYQ, 8TZB, 8TZC, 8TZE, 8TZF, 8TZG, 8TZH, 8U1B, 8U7H, 8U7L, 8U8A, 8U8B, 8VH4, 8VH5, 9C76, 9CHO","2RRU, 2ZJD, 3ADE, 3B0F, 3WDZ"
499,VAPB,OSBPL6,O95292,Q9BZF3,"2MDK, 3IKK",No 3D Structure
500,VAPA,OSBPL6,Q9P0L0,Q9BZF3,"2RR3, 6TQR",No 3D Structure
501,PDHA1,UQCRC2,P08559,P22695,"1NI4, 2OZL, 3EXE, 3EXF, 3EXG, 3EXH, 3EXI, 6CER, 6CFO","5XTE, 5XTH, 5XTI"
502,TOMM20,DNM1L,Q15388,Q7SXN5,"4APO, 7VBY, 7VC9, 8XVA",No 3D Structure
503,MAP1LC3B,ATG9A,Q9GZQ8,Q3T904,"1V49, 2LUE, 2N9X, 2ZJD, 3VTU, 3VTV, 3VTW, 3WAO, 3X0W, 4WAA, 5D94, 5DCN, 5GMV, 5MS2, 5MS5, 5MS6, 5V4K, 5W9A, 5XAC, 5XAD, 5XAE, 6J04, 6LAN, 7ELG, 7GA8, 7GA9, 7GAA, 7GAB, 7GAC, 7GAD, 7GAE, 7GAF, 7GAG, 7GAH, 7GAI, 7GAJ, 7GAK, 7GAL, 7GAM, 7GAN, 7GAO, 7GAP, 7GAQ, 7GAR, 7GAS, 7GAU, 8Q53, 8Q7K, 8YV6",No 3D Structure
504,NFKBIA,MAVS,Q9Z1E3,Q8VCF0,No 3D Structure,4GHU
505,STUB1,VCP,Q9UNE7,P42660,"4KBQ, 6EFK, 6NSV, 7TB1, 8EHZ, 8EI0, 8F14, 8F15, 8F16, 8F17, 8FYU, 8GCK, 8SUV",No 3D Structure
506,HDAC6,HSPA8,Q9UBN7,P63017,"3C5K, 3GV4, 3PHD, 5B8D, 5EDU, 5KH3, 5KH7, 5KH9, 5WBN, 5WPB, 6CE6, 6CE8, 6CEA, 6CEC, 6CED, 6CEE, 6CEF, 7ZYU, 8G43, 8G44, 8G45",3CQX
507,ILF3,TRA2B,Q9Z1X4,Q3ZBT6,"4AT7, 4AT8, 4AT9, 4ATB, 5DV7",No 3D Structure
508,HNRNPH3,SRSF1,P31942,Q6PDM2,No 3D Structure,1X4C
509,EIF4A3,ILF2,P38919,Q12905,"2HXY, 2HYI, 2J0Q, 2J0S, 2J0U, 2XB2, 3EX7, 4C9B, 5MQF, 5XJC, 5YZG, 6ICZ, 6QDV, 6YVH, 7A5P, 7W59, 7W5A, 7W5B, 7ZNJ, 8C6J, 8I0W, 9FMD",No 3D Structure
510,VAPA,PITPNM2,Q9P0L0,Q9BZ72,"2RR3, 6TQR",No 3D Structure
511,ELAVL1,TAF15,Q15717,Q9AST1,"3HI9, 4ED5, 4EGL, 4FXV, 5SZW, 6G2K, 6GC5, 6GD1, 6GD2, 6GD3",No 3D Structure
512,FUS,RBM14,P56959,Q8C2Q3,No 3D Structure,No 3D Structure
513,FUS,SNRNP200,P56959,Q6P4T2,No 3D Structure,No 3D Structure
514,PFN1,VCP,P62962,P42660,No 3D Structure,No 3D Structure
515,SNCA,SYN1,Q3T0G8,P17600,No 3D Structure,No 3D Structure
516,TRAF2,UBC,Q12933,P0CG48,"1CA4, 1CA9, 1CZY, 1CZZ, 1D00, 1D01, 1D0A, 1D0J, 1F3V, 1QSC, 3KNV, 3M06, 3M0A, 3M0D, 8T5Q","1C3T, 1CMX, 1D3Z, 1F9J, 1FXT, 1G6J, 1GJZ, 1NBF, 1OGW, 1Q5W, 1S1Q, 1SIF, 1TBE, 1UBI, 1UBQ, 1UD7, 1XD3, 1XQQ, 1YX5, 1YX6, 1ZGU, 2AYO, 2BGF, 2DEN, 2FUH, 2G45, 2GBJ, 2GBK, 2GBM, 2GBN, 2GBR, 2GMI, 2HTH, 2IBI, 2J7Q, 2JF5, 2JRI, 2JY6, 2JZZ, 2K25, 2K6D, 2K8B, 2K8C, 2KDF, 2KJH, 2KLG, 2KN5, 2KX0, 2L3Z, 2LD9, 2LVO, 2LVP, 2LVQ, 2LZ6, 2MBO, 2MBQ, 2MCN, 2MI8, 2MJ5, 2MOR, 2MRE, 2MWS, 2N2K, 2NR2, 2O6V, 2OJR, 2PE9, 2PEA, 2RR9, 2RU6, 2W9N, 2WDT, 2XEW, 2Z59, 2ZCB, 2ZVN, 2ZVO, 3A33, 3ALB, 3AUL, 3B08, 3B0A, 3BY4, 3C0R, 3DVG, 3DVN, 3EEC, 3EFU, 3EHV, 3H7P, 3H7S, 3HM3, 3IFW, 3IHP, 3JSV, 3JVZ, 3JW0, 3K9O, 3K9P, 3KVF, 3KW5, 3LDZ, 3MHS, 3MTN, 3N30, 3N32, 3N3K, 3NS8, 3O65, 3OFI, 3OJ4, 3ONS, 3PT2, 3PTF, 3Q3F, 3RUL, 3TMP, 3U30, 3UGB, 3V6C, 3V6E, 3VFK, 3VUW, 3VUX, 3VUY, 3WXE, 3WXF, 3ZNI, 3ZNZ, 4AP4, 4AUQ, 4BOS, 4BOZ, 4BVU, 4DDG, 4DDI, 4DHJ, 4DHZ, 4FJV, 4HK2, 4HXD, 4I6L, 4I6N, 4IG7, 4IUM, 4JQW, 4K1R, 4K7S, 4K7U, 4K7W, 4KSK, 4KSL, 4LCD, 4LDT, 4MDK, 4MM3, 4MSM, 4MSQ, 4NQK, 4UN2, 4V3K, 4V3L, 4XOK, 4XOL, 4ZQS, 5AF4, 5AF5, 5AF6, 5AIU, 5B83, 5C7J, 5C7M, 5E6J, 5H07, 5NL4, 5NLF, 5NLI, 5NMC, 5OE7, 5OHV, 5OXH, 5OXI, 5UDH, 5WQ4, 5ZQ3, 5ZQ4, 5ZQ5, 5ZQ6, 5ZQ7, 6A43, 6A44, 6AQR, 6B7M, 6B7O, 6EQI, 6K2U, 6KBE, 6N13, 6N6R, 6NQA, 6NXK, 6OI4, 6P5B, 6Q00, 6QML, 6RYA, 6S53, 6SQR, 6T7F, 6T9L, 6TNF, 6TTU, 6TUV, 6TXB, 6ULH, 6UMP, 6UMS, 6UPU, 6V5D, 6VAE, 6VAF, 6VEN, 6W9D, 6W9R, 6W9S, 6WJD, 6WKR, 6WTG, 6YPT, 6Z7V, 7B5L, 7B5M, 7B5N, 7BBD, 7BBF, 7BXG, 7EAL, 7EAO, 7EB9, 7JXV, 7K6P, 7K6Q, 7KEO, 7M4M, 7M4N, 7M4O, 7MEX, 7MIC, 7MYF, 7NPI, 7OWD, 7R70, 7R71, 7TV4, 7UV5, 7UYH, 7YUI, 7ZJ3, 8A9J, 8A9K, 8ADB, 8AMS, 8B3G, 8B3I, 8E7O, 8EAZ, 8EB0, 8FTQ, 8JRT, 8JTI, 8K6E, 8K6F, 8K6I, 8K6R, 8K6V, 8OFF, 8PJN, 8PMQ, 8PQL, 8Q7R, 8R5H, 8RX0, 8SSI, 8ST7, 8ST8, 8ST9, 8SVF, 8T48, 8U5H, 9D1I, 9D1Y, 9D1Z, 9D8P, 9DBY, 9DDE, 9DG3, 9EBS, 9EGV, 9EGW, 9FCI, 9FCJ, 9FJ3, 9FJ4"
517,PARK7,TP53,Q5XJ36,Q12888,No 3D Structure,"1GZH, 1KZY, 1XNI, 2G3R, 2IG0, 2LVM, 2MWO, 2MWP, 3LGF, 3LGL, 3LH0, 4CRI, 4RG2, 4X34, 5ECG, 5J26, 5KGF, 5Z78, 5ZCJ, 6CO1, 6CO2, 6IU7, 6IUA, 6MXX, 6MXY, 6MXZ, 6MY0, 6RML, 6RMM, 6UPT, 6VA5, 6VIP, 7LIN, 7LIO, 7YQK, 8EOM, 8F0W, 8HKW, 8SVG, 8SVH, 8SVI, 8SVJ, 8SWJ, 8T2D, 8U4U"
518,ILF2,ALYREF,Q12905,Q86V81,No 3D Structure,"3ULH, 7ZNJ, 7ZNK"
519,HNRNPM,TAF15,P52272,Q9AST1,"2DGV, 2DH9, 2DO0, 2OT8",No 3D Structure
520,HNRNPR,RBM14,O43390,Q8C2Q3,2DK2,No 3D Structure
521,ILF3,SFPQ,Q9Z1X4,Q8VIJ6,"4AT7, 4AT8, 4AT9, 4ATB, 5DV7",No 3D Structure
522,SDHA,DLD,P31040,Q94AX4,"6VAX, 8DYD, 8DYE, 8GS8",No 3D Structure
523,LRRK2,YWHAB,Q5S007,P31946,"2ZEJ, 3D6T, 5MY9, 5MYC, 6DLO, 6DLP, 6OJE, 6OJF, 6VNO, 6VP6, 6VP7, 6VP8, 6XAF, 6XR4, 7LHT, 7LHW, 7LI3, 7LI4, 7THY, 7THZ, 8FO2, 8FO7, 8FO8, 8FO9, 8SMC, 8TXZ, 8TYQ, 8TZB, 8TZC, 8TZE, 8TZF, 8TZG, 8TZH, 8U1B, 8U7H, 8U7L, 8U8A, 8U8B, 8VH4, 8VH5, 9C76, 9CHO","2BQ0, 2C23, 4DNK, 5N10, 6A5Q, 6BYK, 6GN0, 6GN8, 6GNJ, 6GNK, 6GNN, 6HEP, 6YGJ, 8DP5, 8EQ8, 8EQH"
524,SFN,YWHAG,O70456,P61982,No 3D Structure,8XI3
525,ELAVL1,PTBP2,Q15717,Q9UKA9,"3HI9, 4ED5, 4EGL, 4FXV, 5SZW, 6G2K, 6GC5, 6GD1, 6GD2, 6GD3","2CQ1, 2MJU, 4CQ1"
